county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,66.2,33.8,43.4,60.7,72.4,47.2,66.9
49003,Box Elder County,40.5,59.5,45.7,49.8,65.5,29.9,61.9
49005,Cache County,64.7,35.3,28.0,72.5,86.1,59.8,70.0
49007,Carbon County,50.7,49.3,35.9,77.7,83.6,44.1,54.2
49009,Daggett County,37.7,62.3,44.4,86.3,91.5,33.0,47.7
49011,Davis County,37.3,62.7,51.7,45.5,69.2,46.7,80.5
49013,Duchesne County,57.8,42.2,40.7,61.3,74.7,45.0,65.3
49015,Emery County,46.8,53.2,52.9,56.8,73.2,28.8,45.9
49017,Garfield County,60.0,40.0,41.7,76.0,86.2,26.7,38.2
49019,Grand County,73.5,26.5,27.2,89.9,90.9,73.8,76.3
49021,Iron County,60.8,39.2,28.9,77.3,85.0,53.3,59.3
49023,Juab County,43.3,56.7,41.7,55.0,61.7,36.8,50.2
49025,Kane County,64.8,35.2,42.7,82.1,94.5,58.5,64.1
49027,Millard County,66.2,33.8,25.5,70.1,84.5,43.8,60.7
49029,Morgan County,21.9,78.1,50.0,35.3,52.6,24.3,64.3
49031,Piute County,35.1,64.9,52.8,61.7,62.6,21.8,41.4
49033,Rich County,41.2,58.8,56.5,49.8,57.1,19.9,45.3
49035,Salt Lake County,84.2,15.8,32.7,44.1,72.0,65.3,93.2
49037,San Juan County,71.0,29.0,30.1,60.3,73.6,37.3,57.4
49039,Sanpete County,50.1,49.9,35.1,66.9,74.6,36.4,52.7
49041,Sevier County,59.7,40.3,32.9,74.7,86.6,45.4,61.5
49043,Summit County,40.8,59.2,63.2,46.3,65.7,35.7,70.0
49045,Tooele County,25.2,74.8,42.9,38.3,48.7,23.0,61.4
49047,Uintah County,57.4,42.6,28.3,70.6,79.6,52.1,62.5
49049,Utah County,64.2,35.8,29.2,52.9,72.8,47.3,78.9
49051,Wasatch County,27.9,72.1,50.1,43.9,61.6,31.2,61.4
49053,Washington County,79.9,20.1,23.6,66.6,85.1,66.4,80.3
49055,Wayne County,65.7,34.3,36.2,77.6,81.6,41.4,59.6
49057,Weber County,52.6,47.4,43.7,49.7,74.0,58.7,72.7
